atm_id,transaction_date,daily_transactions,avg_withdrawal_amount,daily_cash_dispensed,cash_balance_eod,was_replenished
ATM001,2024-01-01,171,92.54,15843.04,104156.96,False
ATM001,2024-01-02,146,86.48,12588.76,91568.2,False
ATM001,2024-01-03,167,89.15,14864.04,76704.16,False
ATM001,2024-01-04,185,87.7,16215.76,103784.24,True
ATM001,2024-01-05,257,92.1,23660.31,80123.93,False
ATM001,2024-01-06,263,93.04,24465.09,55658.84,False
ATM001,2024-01-07,209,87.68,18328.16,37330.68,False
ATM001,2024-01-08,176,87.41,15425.34,104574.66,True
ATM001,2024-01-09,171,89.87,15346.21,89228.46,False
ATM001,2024-01-10,165,88.16,14542.21,74686.24,False
ATM001,2024-01-11,197,89.58,17685.37,57000.87,False
ATM001,2024-01-12,242,89.05,21590.6,98409.4,True
ATM001,2024-01-13,278,90.99,25276.79,73132.61,False
ATM001,2024-01-14,200,91.16,18258.02,54874.59,False
ATM001,2024-01-15,196,88.9,17463.52,37411.07,False
ATM001,2024-01-16,159,87.8,13922.69,106077.31,True
ATM001,2024-01-17,165,93.05,15380.72,90696.59,False
ATM001,2024-01-18,184,87.73,16105.87,74590.73,False
ATM001,2024-01-19,229,91.76,21000.1,53590.63,False
ATM001,2024-01-20,280,91.47,25652.8,94347.2,True
ATM001,2024-01-21,187,90.63,16930.68,77416.52,False
ATM001,2024-01-22,167,90.59,15155.55,62260.97,False
ATM001,2024-01-23,169,90.6,15338.67,46922.3,False
ATM001,2024-01-24,171,90.18,15448.63,104551.37,True
ATM001,2024-01-25,181,91.7,16566.76,87984.62,False
ATM001,2024-01-26,225,89.14,20090.36,67894.26,False
ATM001,2024-01-27,267,88.28,23563.5,44330.76,False
ATM001,2024-01-28,185,94.04,17399.71,102600.29,True
ATM001,2024-01-29,153,92.61,14148.25,88452.05,False
ATM001,2024-01-30,144,89.1,12827.3,75624.75,False
ATM001,2024-01-31,163,91.58,14900.41,60724.33,False
ATM001,2024-02-01,154,92.14,14219.64,105780.36,True
ATM001,2024-02-02,204,88.75,18092.7,87687.66,False
ATM001,2024-02-03,241,89.48,21549.7,66137.96,False
ATM001,2024-02-04,155,86.94,13518.97,52619.0,False
ATM001,2024-02-05,129,91.34,11746.03,108253.97,True
ATM001,2024-02-06,132,91.86,12146.31,96107.66,False
ATM001,2024-02-07,132,90.43,11914.63,84193.03,False
ATM001,2024-02-08,159,89.16,14134.66,70058.38,False
ATM001,2024-02-09,217,88.21,19142.17,100857.83,True
ATM001,2024-02-10,222,88.97,19784.32,81073.51,False
ATM001,2024-02-11,149,91.31,13594.74,67478.77,False
ATM001,2024-02-12,135,90.03,12121.96,55356.81,False
ATM001,2024-02-13,136,91.21,12437.39,107562.61,True
ATM001,2024-02-14,143,89.73,12861.67,94700.94,False
ATM001,2024-02-15,222,89.78,19963.74,100036.26,True
ATM001,2024-02-16,291,86.09,25041.04,74995.21,False
ATM001,2024-02-17,322,87.31,28118.42,91881.58,True
ATM001,2024-02-18,264,87.56,23105.86,68775.72,False
ATM001,2024-02-19,198,93.51,18543.44,101456.56,True
ATM001,2024-02-20,194,91.99,17829.01,83627.54,False
ATM001,2024-02-21,195,89.45,17479.55,102520.45,True
ATM001,2024-02-22,216,89.08,19241.07,83279.38,False
ATM001,2024-02-23,350,85.34,29887.83,90112.17,True
ATM001,2024-02-24,351,90.64,31798.64,58313.54,False
ATM001,2024-02-25,250,86.1,21552.92,98447.08,True
ATM001,2024-02-26,216,88.57,19137.25,79309.83,False
ATM001,2024-02-27,206,90.06,18579.39,101420.61,True
ATM001,2024-02-28,234,89.35,20874.11,80546.5,False
ATM001,2024-02-29,212,90.48,19142.36,100857.64,True
ATM001,2024-03-01,306,93.67,28617.82,72239.82,False
ATM001,2024-03-02,360,90.96,32703.15,87296.85,True
ATM001,2024-03-03,287,86.79,24891.67,62405.18,False
ATM001,2024-03-04,208,87.5,18206.98,101793.02,True
ATM001,2024-03-05,206,86.28,17787.2,84005.82,False
ATM001,2024-03-06,218,89.4,19508.41,100491.59,True
ATM001,2024-03-07,213,87.26,18552.27,81939.32,False
ATM001,2024-03-08,312,92.26,28805.77,91194.23,True
ATM001,2024-03-09,362,97.87,35473.46,55720.77,False
ATM001,2024-03-10,265,87.33,23129.54,96870.46,True
ATM001,2024-03-11,181,90.72,16401.03,80469.42,False
ATM001,2024-03-12,194,88.88,17268.08,102731.92,True
ATM001,2024-03-13,199,89.62,17877.41,84854.51,False
ATM001,2024-03-14,245,90.42,22157.31,97842.69,True
ATM001,2024-03-15,320,87.2,27869.29,69973.41,False
ATM001,2024-03-16,204,88.69,18048.73,101951.27,True
ATM001,2024-03-17,155,94.77,14726.18,87225.08,False
ATM001,2024-03-18,136,92.65,12641.64,74583.44,False
ATM001,2024-03-19,134,86.8,11612.76,62970.68,False
ATM001,2024-03-20,130,88.04,11474.38,108525.62,True
ATM001,2024-03-21,179,87.78,15702.68,92822.95,False
ATM001,2024-03-22,225,87.56,19660.54,73162.41,False
ATM001,2024-03-23,238,91.04,21661.0,51501.41,False
ATM001,2024-03-24,163,89.89,14620.53,105379.47,True
ATM001,2024-03-25,131,91.2,11965.67,93413.79,False
ATM001,2024-03-26,134,86.69,11648.84,81764.95,False
ATM001,2024-03-27,124,90.47,11225.85,70539.11,False
ATM001,2024-03-28,167,90.43,15110.27,104889.73,True
ATM001,2024-03-29,203,90.77,18386.46,86503.27,False
ATM001,2024-03-30,245,90.59,22236.24,64267.02,False
ATM001,2024-03-31,154,92.99,14362.59,49904.44,False
ATM001,2024-04-01,165,94.15,15490.26,104509.74,True
ATM001,2024-04-02,169,86.69,14617.26,89892.47,False
ATM001,2024-04-03,142,94.46,13386.21,76506.26,False
ATM001,2024-04-04,205,89.52,18316.76,58189.5,False
ATM001,2024-04-05,231,93.95,21658.93,98341.07,True
ATM001,2024-04-06,257,87.58,22536.4,75804.67,False
ATM001,2024-04-07,209,88.93,18555.13,57249.54,False
ATM001,2024-04-08,168,89.56,15026.88,42222.67,False
ATM001,2024-04-09,158,93.8,14776.04,105223.96,True
ATM001,2024-04-10,162,91.74,14825.33,90398.63,False
ATM001,2024-04-11,157,89.87,14064.41,76334.22,False
ATM001,2024-04-12,242,86.71,20972.56,55361.66,False
ATM001,2024-04-13,257,89.1,22900.4,97099.6,True
ATM001,2024-04-14,219,86.42,18912.56,78187.04,False
ATM001,2024-04-15,170,88.69,15064.53,63122.51,False
ATM001,2024-04-16,152,92.71,14103.74,49018.77,False
ATM001,2024-04-17,163,93.61,15297.11,104702.89,True
ATM001,2024-04-18,182,88.12,16060.2,88642.68,False
ATM001,2024-04-19,242,90.65,21901.84,66740.84,False
ATM001,2024-04-20,283,87.07,24655.13,42085.71,False
ATM001,2024-04-21,197,90.62,17850.79,102149.21,True
ATM001,2024-04-22,189,95.07,17929.04,84220.17,False
ATM001,2024-04-23,152,89.22,13594.29,70625.88,False
ATM001,2024-04-24,150,88.41,13297.22,57328.66,False
ATM001,2024-04-25,178,93.26,16597.5,103402.5,True
ATM001,2024-04-26,240,88.23,21140.8,82261.69,False
ATM001,2024-04-27,234,89.56,20953.69,61308.0,False
ATM001,2024-04-28,186,88.57,16466.77,44841.24,False
ATM001,2024-04-29,158,89.75,14137.33,105862.67,True
ATM001,2024-04-30,148,86.04,12760.26,93102.41,False
ATM001,2024-05-01,165,86.52,14249.5,78852.91,False
ATM001,2024-05-02,132,94.96,12529.22,66323.69,False
ATM001,2024-05-03,262,86.84,22720.65,97279.35,True
ATM001,2024-05-04,218,90.92,19777.13,77502.23,False
ATM001,2024-05-05,191,87.34,16683.17,60819.06,False
ATM001,2024-05-06,134,92.1,12313.64,48505.41,False
ATM001,2024-05-07,139,88.98,12397.43,107602.57,True
ATM001,2024-05-08,141,86.29,12161.89,95440.69,False
ATM001,2024-05-09,149,89.28,13305.35,82135.34,False
ATM001,2024-05-10,213,88.5,18843.56,63291.78,False
ATM001,2024-05-11,226,92.73,20974.58,99025.42,True
ATM001,2024-05-12,164,90.95,14943.43,84081.99,False
ATM001,2024-05-13,140,90.0,12573.58,71508.41,False
ATM001,2024-05-14,126,90.85,11433.48,60074.92,False
ATM001,2024-05-15,127,95.65,12193.03,107806.97,True
ATM001,2024-05-16,166,91.04,15104.2,92702.77,False
ATM001,2024-05-17,202,87.0,17575.49,75127.28,False
ATM001,2024-05-18,243,90.71,22058.18,53069.1,False
ATM001,2024-05-19,179,85.29,15286.98,104713.02,True
ATM001,2024-05-20,147,91.23,13367.12,91345.9,False
ATM001,2024-05-21,125,88.73,11126.45,80219.45,False
ATM001,2024-05-22,139,90.14,12505.08,67714.37,False
ATM001,2024-05-23,148,89.72,13255.15,106744.85,True
ATM001,2024-05-24,201,90.41,18215.65,88529.2,False
ATM001,2024-05-25,271,83.07,22495.33,66033.87,False
ATM001,2024-05-26,161,90.48,14538.67,51495.2,False
ATM001,2024-05-27,144,89.0,12789.15,107210.85,True
ATM001,2024-05-28,117,90.89,10634.3,96576.55,False
ATM001,2024-05-29,161,85.86,13854.21,82722.34,False
ATM001,2024-05-30,161,89.11,14372.35,68349.99,False
ATM001,2024-05-31,212,87.16,18460.38,101539.62,True
ATM001,2024-06-01,212,93.51,19823.96,81715.66,False
ATM001,2024-06-02,163,94.68,15397.08,66318.59,False
ATM001,2024-06-03,149,91.19,13603.08,52715.51,False
ATM001,2024-06-04,149,91.19,13587.23,106412.77,True
ATM001,2024-06-05,146,89.2,13008.9,93403.87,False
ATM001,2024-06-06,154,88.12,13592.21,79811.66,False
ATM001,2024-06-07,229,86.82,19869.59,59942.07,False
ATM001,2024-06-08,240,89.49,21435.92,98564.08,True
ATM001,2024-06-09,174,92.03,16044.71,82519.38,False
ATM001,2024-06-10,155,91.97,14229.57,68289.8,False
ATM001,2024-06-11,120,89.82,10772.67,57517.13,False
ATM001,2024-06-12,128,88.6,11309.4,108690.6,True
ATM001,2024-06-13,164,91.72,15038.66,93651.94,False
ATM001,2024-06-14,202,87.26,17654.56,75997.38,False
ATM001,2024-06-15,235,86.72,20340.18,55657.2,False
ATM001,2024-06-16,155,90.84,14103.34,105896.66,True
ATM001,2024-06-17,148,91.64,13582.05,92314.61,False
ATM001,2024-06-18,113,90.82,10243.72,82070.88,False
ATM001,2024-06-19,135,91.12,12338.41,69732.48,False
ATM001,2024-06-20,179,84.43,15149.58,104850.42,True
ATM001,2024-06-21,194,91.6,17788.32,87062.1,False
ATM001,2024-06-22,193,93.99,18166.73,68895.37,False
ATM001,2024-06-23,164,92.29,15167.83,53727.54,False
ATM001,2024-06-24,131,92.2,12036.11,107963.89,True
ATM001,2024-06-25,143,90.63,12959.75,95004.14,False
ATM001,2024-06-26,138,90.73,12479.44,82524.7,False
ATM001,2024-06-27,142,89.6,12735.64,69789.06,False
ATM001,2024-06-28,201,91.04,18342.9,101657.1,True
ATM001,2024-06-29,250,87.14,21764.74,79892.36,False
ATM001,2024-06-30,156,94.0,14652.94,65239.42,False
ATM001,2024-07-01,135,87.78,11891.53,53347.89,False
ATM001,2024-07-02,132,92.28,12197.33,107802.67,True
ATM001,2024-07-03,131,93.59,12286.17,95516.5,False
ATM001,2024-07-04,156,92.27,14365.28,81151.23,False
ATM001,2024-07-05,200,96.28,19273.05,61878.18,False
ATM001,2024-07-06,236,84.59,20004.2,99995.8,True
ATM001,2024-07-07,186,88.76,16538.48,83457.33,False
ATM001,2024-07-08,135,93.54,12621.84,70835.49,False
ATM001,2024-07-09,124,86.62,10749.91,60085.58,False
ATM001,2024-07-10,125,87.86,10974.62,109025.38,True
ATM001,2024-07-11,153,91.42,13951.86,95073.52,False
ATM001,2024-07-12,219,86.19,18901.83,76171.7,False
ATM001,2024-07-13,192,90.15,17263.53,58908.17,False
ATM001,2024-07-14,157,91.24,14301.54,105698.46,True
ATM001,2024-07-15,146,90.37,13157.79,92540.67,False
ATM001,2024-07-16,140,90.62,12683.03,79857.64,False
ATM001,2024-07-17,145,88.1,12740.41,67117.23,False
ATM001,2024-07-18,148,90.53,13360.0,106640.0,True
ATM001,2024-07-19,221,88.94,19635.84,87004.16,False
ATM001,2024-07-20,236,89.28,21047.57,65956.59,False
ATM001,2024-07-21,159,92.24,14660.6,51295.99,False
ATM001,2024-07-22,126,86.5,10895.64,109104.36,True
ATM001,2024-07-23,130,83.7,10840.64,98263.71,False
ATM001,2024-07-24,127,92.02,11707.11,86556.61,False
ATM001,2024-07-25,146,90.53,13261.92,73294.69,False
ATM001,2024-07-26,214,93.58,20008.65,99991.35,True
ATM001,2024-07-27,216,93.65,20195.58,79795.77,False
ATM001,2024-07-28,170,87.74,14877.36,64918.41,False
ATM001,2024-07-29,140,86.0,12016.36,52902.05,False
ATM001,2024-07-30,127,89.03,11300.94,108699.06,True
ATM001,2024-07-31,137,94.65,12986.7,95712.36,False
ATM001,2024-08-01,135,91.06,12281.4,83430.97,False
ATM001,2024-08-02,189,91.28,17237.4,66193.57,False
ATM001,2024-08-03,236,85.06,20108.19,99891.81,True
ATM001,2024-08-04,179,88.37,15774.15,84117.66,False
ATM001,2024-08-05,139,87.11,12067.36,72050.3,False
ATM001,2024-08-06,126,91.16,11487.45,60562.85,False
ATM001,2024-08-07,133,90.89,12114.8,107885.2,True
ATM001,2024-08-08,148,93.57,13876.17,94009.04,False
ATM001,2024-08-09,210,86.01,18100.22,75908.81,False
ATM001,2024-08-10,245,89.1,21867.66,54041.15,False
ATM001,2024-08-11,176,91.04,15981.2,104018.8,True
ATM001,2024-08-12,136,90.94,12412.42,91606.38,False
ATM001,2024-08-13,144,95.61,13785.62,77820.76,False
ATM001,2024-08-14,136,90.43,12336.12,65484.64,False
ATM001,2024-08-15,166,87.72,14587.65,105412.35,True
ATM001,2024-08-16,211,89.93,18977.12,86435.23,False
ATM001,2024-08-17,236,87.75,20744.41,65690.81,False
ATM001,2024-08-18,157,84.4,13225.17,52465.64,False
ATM001,2024-08-19,131,88.76,11584.41,108415.59,True
ATM001,2024-08-20,124,95.23,11781.52,96634.07,False
ATM001,2024-08-21,152,87.4,13264.54,83369.54,False
ATM001,2024-08-22,156,88.9,13862.37,69507.17,False
ATM001,2024-08-23,201,90.5,18174.4,101825.6,True
ATM001,2024-08-24,238,89.08,21192.46,80633.14,False
ATM001,2024-08-25,183,86.92,15924.54,64708.6,False
ATM001,2024-08-26,129,97.01,12532.45,52176.16,False
ATM001,2024-08-27,130,93.87,12215.07,107784.93,True
ATM001,2024-08-28,135,91.57,12355.25,95429.68,False
ATM001,2024-08-29,150,89.54,13475.37,81954.31,False
ATM001,2024-08-30,193,91.16,17555.29,64399.01,False
ATM001,2024-08-31,208,91.8,19119.25,100880.75,True
ATM001,2024-09-01,175,90.99,15948.45,84932.3,False
ATM001,2024-09-02,135,91.23,12278.38,72653.92,False
ATM001,2024-09-03,127,92.53,11768.76,60885.16,False
ATM001,2024-09-04,121,89.09,10799.24,109200.76,True
ATM001,2024-09-05,137,85.96,11769.15,97431.61,False
ATM001,2024-09-06,221,92.42,20397.04,77034.57,False
ATM001,2024-09-07,225,85.94,19296.81,57737.76,False
ATM001,2024-09-08,136,88.53,12011.62,107988.38,True
ATM001,2024-09-09,163,91.17,14839.7,93148.67,False
ATM001,2024-09-10,127,91.26,11563.87,81584.81,False
ATM001,2024-09-11,123,89.2,11005.64,70579.17,False
ATM001,2024-09-12,152,89.77,13623.57,106376.43,True
ATM001,2024-09-13,215,90.93,19595.03,86781.4,False
ATM001,2024-09-14,241,88.14,21265.5,65515.9,False
ATM001,2024-09-15,167,94.4,15740.53,49775.37,False
ATM001,2024-09-16,134,87.6,11704.42,108295.58,True
ATM001,2024-09-17,148,89.48,13204.53,95091.04,False
ATM001,2024-09-18,153,88.81,13543.98,81547.07,False
ATM001,2024-09-19,166,90.36,14979.63,66567.43,False
ATM001,2024-09-20,200,94.22,18877.96,101122.04,True
ATM001,2024-09-21,226,87.46,19786.1,81335.94,False
ATM001,2024-09-22,157,91.22,14324.8,67011.14,False
